Reference, Quantity, Value, Footprint, Datasheet, Field4
C1 C2 C3 C4 ,4,"0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","399-1169-1-ND"
C5 C6 C7 C8 ,4,"47uF","Capacitor_SMD:CP_Elec_5x5.8","~","PCE3890CT-ND"
J0 J1 J2 J3 ,4,"SDS-50J","new-joy:CUI_SDS-50J","CUI Inc","CP-2350-ND"
J4 ,1,"BAT","TerminalBlock:TerminalBlock_bornier-2_P5.08mm",""," ED2609-ND"
R1 R10 R11 R12 R13 R14 R15 R16 R2 R3 R4 R5 R6 R7 R8 R9 ,16,"2K2","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","RNCP0805FTD2K21CT-ND"
U10 ,1,"oskj-dc-dc","new-joy:oskj-dc-dc",""
U0 U1 U2 U3 ,4,"P82B715","new-joy:P82B715D","","296-24729-1-ND"
U4 ,1,"AZReady_ESP32","new-joy:AZReady_ESP32",""
U5 ,1,"24L01","new-joy:24L01",""
U7 ,1,"MPU6050_Breakout","new-joy:MPU6050_Breakout",""